"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bolivia","BOL","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.8497467041016","85.6224899291992","86.6096420288086","86.7164916992188","87.7996063232422","90.378776550293","88.1935577392578","88.1188583374023","",
"Brazil","BRA","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.2471084594727","","70.3799133300781","60.9540596008301","58.0584907531738","58.495979309082","55.4069786071777","","","68.7687683105469","65.8333282470703","69.0276870727539","79.8063583374023","76.470588684082","75.1072998046875","75.0677490234375","",
"Brunei Darussalam","BRN","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.4547119140625","84.6049423217773","82.8280029296875","84.2837295532227","84.14013671875","87.0893173217773","88.2672882080078","88.0386276245117","85.1905517578125","87.4375610351563","82.3208465576172","84.9080429077148","85.347038269043","86.4126281738281","86.6467437744141","85.1808395385742","",
"Bhutan","BTN","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.705940246582","100","94.8259201049805","91.584602355957","","","","93.8182983398438","92.0068511962891","","91.4671936035156","","","","","","","100","100","100","100","","100","",
"Botswana","BWA","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8311309814453","90.2426834106445","89.1553421020508","89.4826202392578","89.0750885009766","89.7223510742188","92.4746398925781","92.5877075195313","94.2898864746094","97.3900985717773","98.8501281738281","100","99.756462097168","99.7817306518555","99.5328369140625","98.6365127563477","97.9120330810547","98.7270431518555","","99.8496704101563","","","","",
"Central African Republic","CAF","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.9995193481445","96.3648681640625","95.7765884399414","95.686637878418","",
"Switzerland","CHE","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4398803710938","99.0568237304688","","100","","","","100","100","100","","100","99.3844299316406","82.8079376220703","84.9443817138672","100","100","100","100","100","100","",
"Cameroon","CMR","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.057991027832","68.5339965820313","62.7408485412598","61.7700996398926","","","","57.3935203552246","67.149543762207","78.7775115966797","","","","","81.2397918701172","","","","",
"Congo, Dem. Rep.","COD","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.0239791870117","93.267448425293","93.3934020996094","91.66748046875","89.8531112670898","93.084342956543","94.0725936889648","94.6235275268555","","","","91.9996490478516","","","",
"Congo, Rep.","COG","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.5529403686523","","","57.1117897033691","62.1705894470215","","88.996452331543","","","","86.777717590332","79.3237533569336","80.3170623779297","","","","","","","","","",
"Colombia","COL","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","97.2832717895508","98.2308807373047","94.0251388549805","94.8545532226563","94.7218780517578","","97.4947891235352","98.6505508422852","",
"Comoros","COM","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.4219818115234","","","55.1535301208496","","","","","74.8754806518555","71.905517578125","","","","",
"Cabo Verde","CPV","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.157958984375","69.3799667358398","72.7043228149414","77.8056411743164","81.4641723632813","82.9337463378906","84.7062606811523","86.4583282470703","90.0299072265625","92.0928726196289","94.5872802734375","","96.0202407836914","","93.2554321289063","93.4350128173828","98.5540618896484","98.9007415771484","","",
